tag_name,display_name,description,measurement,unit,sampling_interval_sec,lower_limit,upper_limit,warning_low,warning_high,priority,expected_pattern,reaction_plan,document_reference,missing_data_action,enabled
temp_room,Room Temperature,Primary monitored temperature,temp,C,300,-2,5,-1.5,4,high,steady,Check airflow; Inspect sensor connection; Verify cooling cycle,Process Manual: Temperature Control; Equipment Manual: Cooling Section,Check sensor power or communications if no data for 2 intervals,yes
humid_room,Room Humidity,Primary monitored humidity,humid,%,300,0,60,5,55,medium,steady,Inspect enclosure sealing; Check for condensation or ingress,Process Manual: Environmental Conditions,Check sensor power or communications if no data for 2 intervals,yes
pressure_1,Line Pressure,Primary line pressure,pressure,psi,300,40,80,45,75,high,steady,Check pump operation; Inspect pressure regulator; Verify upstream supply,Equipment Manual: Pressure System,Check source endpoint or sensor if no data for 2 intervals,no
flow_1,Flow Rate,Main process flow,flow,gpm,300,10,25,12,23,high,steady,Check pump performance; Inspect blockage; Verify valve position,Process Manual: Flow Control,Check source endpoint or sensor if no data for 2 intervals,no
current_1,Motor Current,Main motor current,current,A,300,2,8,2.5,7.5,high,steady,Inspect motor load; Check bearings; Verify driven equipment load,Equipment Manual: Motor Section,Check source endpoint or sensor if no data for 2 intervals,no
voltage_1,Supply Voltage,Primary supply voltage,voltage,V,300,110,125,112,123,medium,steady,Verify power quality; Check supply connection; Inspect breaker or UPS,Electrical Manual: Supply,Check source endpoint or sensor if no data for 2 intervals,no
vibration_1,Vibration,Vibration monitoring channel,vibration,mm/s,300,0,5,0,4,high,steady,Inspect alignment; Check bearings; Review mounting condition,Equipment Manual: Mechanical Section,Check source endpoint or sensor if no data for 2 intervals,no
level_1,Tank Level,Tank level channel,level,%,300,20,90,25,85,medium,steady,Inspect fill source; Verify drains; Check level sensor,Process Manual: Tank Operation,Check source endpoint or sensor if no data for 2 intervals,no
runtime_1,Runtime Hours,Accumulated runtime,runtime,hours,3600,0,999999,0,999999,low,steady,Review maintenance interval; Compare against service schedule,Maintenance Plan,Check source endpoint or sensor if no data for 2 intervals,no
custom_1,Custom Input,Generic custom variable,custom,,300,0,100,10,90,medium,steady,Review process conditions; Investigate related equipment,Custom Documentation,Check source endpoint or sensor if no data for 2 intervals,no
